ID,County,population_primary_2012,population_general_2012,population_midterm_2014,population_primary_2016,population_general_2016,population_midterm_2018,population_primary_2020,population_general_2020,registration_primary_2012,registration_general_2012,registration_midterm_2014,registration_primary_2016,registration_general_2016,registration_midterm_2018,registration_primary_2020,registration_general_2020,registration_midterm_2022,turnout_primary_2012,turnout_general_2012,turnout_midterm_2014,turnout_primary_2016,turnout_general_2016,turnout_midterm_2018,turnout_primary_2020,turnout_general_2020,turnout_midterm_2022,TOrate_primary_2012,TOrate_general_2012,TOrate_midterm_2014,TOrate_primary_2016,TOrate_general_2016,TOrate_midterm_2018,TOrate_primary_2020,TOrate_general_2020,TOrate_midterm_2022,growth_r_g_2012_2016,growth_r_g_2012_2020,growth_r_g_2016_2020,growth_r_p_2012_2016,growth_r_p_2012_2020,growth_r_p_2016_2020,growth_r_m_2014_2018,growth_r_m_2014_2022,growth_r_m_2018_2022,growth_t_g_2012_2016,growth_t_g_2012_2020,growth_t_g_2016_2020,growth_t_p_2012_2016,growth_t_p_2012_2020,growth_t_p_2016_2020,growth_t_m_2014_2018,growth_t_m_2014_2022,growth_t_m_2018_2022
1,Texas,25145561,25145561,25145561,25145561,25145561,25145561,25145561,25145561,12892246,13122046,14047871,14403983,15104594,15789044,16226525,16960107,17713365,2077459,8049220,4749102,4302293,9044896,8401730,4158825,11355330,8143047,0.1611,0.6134,0.3381,0.2987,0.5988,0.5321,0.2563,0.6695,0.4597,15.10852805,29.24895249,12.28442817,11.72593976,25.8626697,12.65304187,12.39456854,26.09287913,12.187698,12.36984453,41.07366925,25.54406375,107.0940028,100.1880663,-3.334686875,76.91197199,71.46498433,-3.078925412
2,Anderson,58458,58458,58458,58458,58458,58458,58458,58458,25652,25649,27016,27151,28096,28332,28161,29224,29477,5231,16212,10238,9823,16981,14764,9504,19229,14512,0.2039,0.6321,0.379,0.3618,0.6044,0.5211,0.3375,0.658,0.4923,9.540332956,13.93816523,4.014806378,5.84359894,9.780913769,3.719936651,4.871187444,9.109416642,4.041366653,4.743399951,18.60967185,13.23832519,87.78436245,81.68610208,-3.247480403,44.2078531,41.74643485,-1.706854511
3,Andrews,14786,14786,14786,14786,14786,14786,14786,14786,7959,8050,8523,8710,9151,9572,9951,10252,10368,1180,4482,2221,3017,4944,4131,2706,5867,3842,0.1483,0.5568,0.2606,0.3464,0.5403,0.4316,0.2719,0.5723,0.3706,13.67701863,27.35403727,12.03147197,9.435858776,25.02826988,14.24799082,12.30787281,21.64730729,8.315921438,10.30789826,30.90138331,18.66909385,155.6779661,129.3220339,-10.30825323,85.99729851,72.98514183,-6.995884774
4,Angelina,86771,86771,86771,86771,86771,86771,86771,86771,47442,48059,49912,50156,51649,51482,51582,53099,54111,12525,28652,16969,16336,30246,26565,16139,34773,24709,0.264,0.5962,0.34,0.3257,0.5856,0.516,0.3129,0.6549,0.4566,7.46998481,10.48710959,2.807411567,5.720669449,8.726444922,2.843129436,3.145536144,8.41280654,5.106639214,5.563311462,21.36325562,14.9672684,30.42714571,28.85429142,-1.205925563,56.55017974,45.61258766,-6.986636552
5,Aransas,23158,23158,23158,23158,23158,23158,23158,23158,15064,15269,15813,16278,17274,17158,17352,18259,18812,3738,9648,6114,6096,10761,8988,5325,12290,9686,0.2481,0.6319,0.3866,0.3745,0.623,0.5238,0.3069,0.6731,0.5149,13.13118082,19.58215993,5.702211416,8.058948486,15.18852894,6.597862145,8.5056599,18.96540821,9.639818161,11.53606965,27.38391376,14.20871666,63.08186196,42.45585875,-12.6476378,47.00686948,58.42329081,7.765910102
6,Archer,9054,9054,9054,9054,9054,9054,9054,9054,6129,6173,6300,6194,6314,6259,6340,6502,6547,1507,4164,2700,2638,4343,3646,2815,4820,3862,0.2459,0.6746,0.4286,0.4259,0.6878,0.5825,0.444,0.7413,0.5899,2.284140612,5.329661429,2.977510295,1.060531898,3.442649698,2.357119793,-0.650793651,3.920634921,4.601374021,4.298751201,15.75408261,10.98319134,75.04976775,86.79495687,6.709628506,35.03703704,43.03703704,5.924300603
7,Armstrong,1901,1901,1901,1901,1901,1901,1901,1901,1382,1394,1334,1378,1391,1414,1437,1491,1440,359,939,573,759,959,903,736,1123,903,0.2598,0.6736,0.4295,0.5508,0.6894,0.6386,0.5122,0.7532,0.6271,-0.215208034,6.958393113,7.18907261,-0.289435601,3.979739508,4.281567489,5.997001499,7.946026987,1.838755304,2.129925453,19.59531416,17.10114703,111.4206128,105.0139276,-3.03030303,57.59162304,57.59162304,0
8,Atascosa,44911,44911,44911,44911,44911,44911,44911,44911,23331,23583,24594,25301,26492,27295,28077,29346,29916,3671,12721,7608,6412,13857,12308,7369,18233,12780,0.1573,0.5394,0.3093,0.2534,0.5231,0.4509,0.2625,0.6213,0.4272,12.33515668,24.43709452,10.77306357,8.443701513,20.3420342,10.97189834,10.98235342,21.63942425,9.602491299,8.930115557,43.32992689,31.57970701,74.66630346,100.7354944,14.92514036,61.77707676,67.98107256,3.834904127
9,Austin,28417,28417,28417,28417,28417,28417,28417,28417,17654,17753,18567,18842,19275,19393,19712,20243,20858,4894,11752,7223,6809,12411,11155,5964,14560,11265,0.2772,0.662,0.389,0.3614,0.6439,0.5752,0.3026,0.7193,0.5401,8.573198896,14.02579846,5.022049287,6.729353121,11.65741475,4.617344231,4.448753164,12.33909625,7.55427216,5.607556161,23.89380531,17.31528483,39.12954638,21.86350633,-12.41004553,54.43721445,55.96012737,0.986104886
10,Bailey,7165,7165,7165,7165,7165,7165,7165,7165,3500,3485,3534,3681,3713,3689,3497,3533,3500,753,1850,1005,1076,1792,1614,1034,1860,1338,0.2151,0.5308,0.2844,0.2923,0.4826,0.4375,0.2957,0.5265,0.3823,6.542324247,1.37733142,-4.847831942,5.171428571,-0.085714286,-4.998641673,4.385964912,-0.962082626,-5.123339658,-3.135135135,0.540540541,3.794642857,42.89508632,37.31739708,-3.903345725,60.59701493,33.13432836,-17.10037175
11,Bandera,20485,20485,20485,20485,20485,20485,20485,20485,14281,14677,14840,14902,15520,15877,16262,17065,17966,4277,9601,6431,5937,10311,9637,5322,12716,10513,0.2995,0.6542,0.4334,0.3984,0.6644,0.607,0.3273,0.7452,0.5852,5.743680589,16.27035498,9.954896907,4.348434984,13.87157762,9.126291773,6.98787062,21.06469003,13.15739749,7.395063014,32.44453703,23.32460479,38.81225158,24.43301379,-10.35876705,49.85227803,63.47379879,9.089965757
12,Bastrop,74171,74171,74171,74171,74171,74171,74171,74171,38538,38767,42573,42491,45115,47022,48944,51948,55835,8071,24685,17076,15759,28888,27626,15607,36947,29363,0.2094,0.6368,0.4011,0.3709,0.6403,0.5875,0.3189,0.7112,0.5259,16.37475172,34.00056749,15.14573867,10.25740827,27.00192018,15.18674543,10.45028539,31.15119912,18.74229084,17.02653433,49.67389103,27.89739684,95.25461529,93.37132945,-0.964528206,61.78261888,71.95479035,6.287555202
