County,population_primary_2012,population_general_2012,population_midterm_2014,population_primary_2016,population_general_2016,population_midterm_2018,population_primary_2020,population_general_2020,registration_primary_2012,registration_general_2012,registration_midterm_2014,registration_primary_2016,registration_general_2016,registration_midterm_2018,registration_primary_2020,registration_general_2020,registration_midterm_2022,turnout_primary_2012,turnout_general_2012,turnout_midterm_2014,turnout_primary_2016,turnout_general_2016,turnout_midterm_2018,turnout_primary_2020,turnout_general_2020,turnout_midterm_2022,TOrate_primary_2012,TOrate_general_2012,TOrate_midterm_2014,TOrate_primary_2016,TOrate_general_2016,TOrate_midterm_2018,TOrate_primary_2020,TOrate_general_2020,TOrate_midterm_2022,,,growth_r_g_2012_2016,growth_r_g_2012_2020,growth_r_g_2016_2020,growth_r_p_2012_2016,growth_r_p_2012_2020,growth_r_p_2016_2020,growth_r_m_2014_2018,growth_r_m_2014_2022,growth_r_m_2018_2022,growth_t_g_2012_2016,growth_t_g_2012_2020,growth_t_g_2016_2020,growth_t_p_2012_2016,growth_t_p_2012_2020,growth_t_p_2016_2020,growth_t_m_2014_2018,growth_t_m_2014_2022,growth_t_m_2018_2022
Anderson,58458,58458,58458,58458,58458,58458,58458,58458,25652,25649,27016,27151,28096,28332,28161,29224,29477,5231,16212,10238,9823,16981,14764,9504,19229,14512,0.203921722,0.632071426,0.378960616,0.361791463,0.604392084,0.521106876,0.337488015,0.657986586,0.492316043,,,9.540332956,13.93816523,4.014806378,5.84359894,9.780913769,3.719936651,4.871187444,9.109416642,4.041366653,4.743399951,18.60967185,13.23832519,87.78436245,81.68610208,-3.247480403,44.2078531,41.74643485,-1.706854511
Andrews,14786,14786,14786,14786,14786,14786,14786,14786,7959,8050,8523,8710,9151,9572,9951,10252,10368,1180,4482,2221,3017,4944,4131,2706,5867,3842,0.148259832,0.556770186,0.260588994,0.346383467,0.540268823,,,,,,,13.67701863,27.35403727,12.03147197,9.435858776,25.02826988,14.24799082,12.30787281,21.64730729,8.315921438,10.30789826,30.90138331,18.66909385,155.6779661,129.3220339,-10.30825323,85.99729851,72.98514183,-6.995884774
Angelina,86771,86771,86771,86771,86771,86771,86771,86771,47442,48059,49912,50156,51649,51482,51582,53099,54111,12525,28652,16969,16336,30246,26565,16139,34773,24709,0.264006576,0.596183857,0.339978362,0.325703804,0.585606691,,,,,,,7.46998481,10.48710959,2.807411567,5.720669449,8.726444922,2.843129436,3.145536144,8.41280654,5.106639214,5.563311462,21.36325562,14.9672684,30.42714571,28.85429142,-1.205925563,56.55017974,45.61258766,-6.986636552
Aransas,23158,23158,23158,23158,23158,23158,23158,23158,15064,15269,15813,16278,17274,17158,17352,18259,18812,3738,9648,6114,6096,10761,8988,5325,12290,9686,0.248141264,0.631868492,0.386643901,0.374493181,0.622959361,,,,,,,13.13118082,19.58215993,5.702211416,8.058948486,15.18852894,6.597862145,8.5056599,18.96540821,9.639818161,11.53606965,27.38391376,14.20871666,63.08186196,42.45585875,-12.6476378,47.00686948,58.42329081,7.765910102
Archer,9054,9054,9054,9054,9054,9054,9054,9054,6129,6173,6300,6194,6314,6259,6340,6502,6547,1507,4164,2700,2638,4343,3646,2815,4820,3862,0.245880241,0.674550462,0.428571429,0.425896028,0.687836554,,,,,,,2.284140612,5.329661429,2.977510295,1.060531898,3.442649698,2.357119793,-0.650793651,3.920634921,4.601374021,4.298751201,15.75408261,10.98319134,75.04976775,86.79495687,6.709628506,35.03703704,43.03703704,5.924300603
Armstrong,1901,1901,1901,1901,1901,1901,1901,1901,1382,1394,1334,1378,1391,1414,1437,1491,1440,359,939,573,759,959,903,736,1123,903,0.259768452,0.673601148,0.429535232,0.550798258,0.689432063,,,,,,,-0.215208034,6.958393113,7.18907261,-0.289435601,3.979739508,4.281567489,5.997001499,7.946026987,1.838755304,2.129925453,19.59531416,17.10114703,111.4206128,105.0139276,-3.03030303,57.59162304,57.59162304,0
Atascosa,44911,44911,44911,44911,44911,44911,44911,44911,23331,23583,24594,25301,26492,27295,28077,29346,29916,3671,12721,7608,6412,13857,12308,7369,18233,12780,0.157344306,0.539413985,0.309343742,0.253428718,0.523063566,,,,,,,12.33515668,24.43709452,10.77306357,8.443701513,20.3420342,10.97189834,10.98235342,21.63942425,9.602491299,8.930115557,43.32992689,31.57970701,74.66630346,100.7354944,14.92514036,61.77707676,67.98107256,3.834904127
Austin,28417,28417,28417,28417,28417,28417,28417,28417,17654,17753,18567,18842,19275,19393,19712,20243,20858,4894,11752,7223,6809,12411,11155,5964,14560,11265,0.277217628,0.661972624,0.389023536,0.361373527,0.643891051,,,,,,,8.573198896,14.02579846,5.022049287,6.729353121,11.65741475,4.617344231,4.448753164,12.33909625,7.55427216,5.607556161,23.89380531,17.31528483,39.12954638,21.86350633,-12.41004553,54.43721445,55.96012737,0.986104886
Bailey,7165,7165,7165,7165,7165,7165,7165,7165,3500,3485,3534,3681,3713,3689,3497,3533,3500,753,1850,1005,1076,1792,1614,1034,1860,1338,0.215142857,0.530846485,0.284380306,0.292311872,0.482628602,,,,,,,6.542324247,1.37733142,-4.847831942,5.171428571,-0.085714286,-4.998641673,4.385964912,-0.962082626,-5.123339658,-3.135135135,0.540540541,3.794642857,42.89508632,37.31739708,-3.903345725,60.59701493,33.13432836,-17.10037175
Bandera,20485,20485,20485,20485,20485,20485,20485,20485,14281,14677,14840,14902,15520,15877,16262,17065,17966,4277,9601,6431,5937,10311,9637,5322,12716,10513,0.299488831,0.654152756,0.433355795,0.398402899,0.664368557,,,,,,,5.743680589,16.27035498,9.954896907,4.348434984,13.87157762,9.126291773,6.98787062,21.06469003,13.15739749,7.395063014,32.44453703,23.32460479,38.81225158,24.43301379,-10.35876705,49.85227803,63.47379879,9.089965757
Bastrop,74171,74171,74171,74171,74171,74171,74171,74171,38538,38767,42573,42491,45115,47022,48944,51948,55835,8071,24685,17076,15759,28888,27626,15607,36947,29363,0.209429654,0.636752908,0.401099288,0.370878539,0.640319184,,,,,,,16.37475172,34.00056749,15.14573867,10.25740827,27.00192018,15.18674543,10.45028539,31.15119912,18.74229084,17.02653433,49.67389103,27.89739684,95.25461529,93.37132945,-0.964528206,61.78261888,71.95479035,6.287555202
Baylor,3726,3726,3726,3726,3726,3726,3726,3726,2489,2493,2510,2408,2433,2353,2325,2404,2380,299,1592,844,897,1513,1243,988,1703,1313,0.120128566,0.638588047,0.33625498,0.372508306,0.621866009,,,,,,,-2.406738869,-3.569995989,-1.191944102,-3.254319004,-6.588991563,-3.446843854,-6.25498008,-5.179282869,1.147471313,-4.962311558,6.972361809,12.55783212,200,230.4347826,10.14492754,47.27488152,55.56872038,5.631536605
Bee,31861,31861,31861,31861,31861,31861,31861,31861,14081,14230,15126,15043,15713,15784,15657,15977,15757,2792,7961,5228,4530,8486,7299,2791,9419,6410,0.198281372,0.559451862,0.345630041,0.301136741,0.540062369,,,,,,,10.42164441,12.27687983,1.680137466,6.831901143,11.1923869,4.081632653,4.350125612,4.171625017,-0.171059301,6.594648913,18.31428213,10.99457931,62.24928367,-0.035816619,-38.38852097,39.61361897,22.60902831,-12.17975065
Bell,310235,310235,310235,310235,310235,310235,310235,310235,152152,157309,168972,174722,186498,194853,202355,215966,228007,19346,86610,44137,42260,96148,86905,41229,128035,88292,0.127149167,0.55057244,0.261208958,0.241869942,0.515544403,,,,,,,18.55520027,37.28775849,15.80070564,14.83385036,32.99529418,15.81540962,15.31673887,34.93774116,17.01487788,11.01258515,47.82934996,33.1644964,118.443089,113.113822,-2.439659252,96.89829395,100.0407821,1.595995627
Bexar,1714773,1714773,1714773,1714773,1714773,1714773,1714773,1714773,869417,886078,958256,985895,1044741,1106388,1130471,1187942,1230627,107923,520288,304052,248562,598691,550669,254397,773800,543164,0.124132608,0.587180813,0.317297257,0.252118126,0.573052077,,,,,,,17.90621142,34.06742973,13.70684217,13.39725356,30.02632799,14.66444195,15.45849961,28.4236154,11.22924327,15.06915401,48.72532136,29.24864413,130.3142055,135.720838,2.347502836,81.11013906,78.64181127,-1.362887688
Blanco,10497,10497,10497,10497,10497,10497,10497,10497,6944,7017,7388,7666,8038,8428,8774,9329,10155,1995,4972,3611,3525,5816,5822,3365,7477,6792,0.287298387,0.708564914,0.488765566,0.459822593,0.723563075,,,,,,,14.55037765,32.94855351,16.06120926,10.39746544,26.35368664,14.45343073,14.07688143,37.45262588,20.49121974,16.97506034,50.38213998,28.55914718,76.69172932,68.6716792,-4.539007092,61.22957629,88.09194129,16.66094126
Borden,641,641,641,641,641,641,641,641,418,422,440,451,463,486,484,499,463,169,364,263,315,371,347,251,417,325,0.40430622,0.862559242,0.597727273,0.698447894,0.801295896,,,,,,,9.71563981,18.2464455,7.77537797,7.894736842,15.78947368,7.317073171,10.45454545,5.227272727,-4.732510288,1.923076923,14.56043956,12.39892183,86.39053254,48.52071006,-20.31746032,31.9391635,23.57414449,-6.340057637
Bosque,18212,18212,18212,18212,18212,18212,18212,18212,11673,11733,11828,11642,12000,12128,12187,12722,13088,2689,7348,4949,4815,7906,7244,4581,9188,7490,0.230360661,0.626267792,0.418413933,0.41358873,0.658833333,,,,,,,2.27563283,8.429216739,6.016666667,-0.265570119,4.40332391,4.681326233,2.536354413,10.65268854,7.915567282,7.593903103,25.04082744,16.21553251,79.06284864,70.3607289,-4.859813084,46.37300465,51.3437058,3.39591386
Bowie,92565,92565,92565,92565,92565,92565,92565,92565,54757,55520,57249,57210,59076,59412,59364,61313,60974,9644,35362,21522,19604,34587,28485,16691,38309,26691,0.176123601,0.636923631,0.375936698,0.342667366,0.585466179,,,,,,,6.404899135,10.43407781,3.786647708,4.479792538,8.413536169,3.765076036,3.778231934,6.506663872,2.629098499,-2.191618121,8.333804649,10.76126868,103.2766487,73.07133969,-14.85921241,32.35294118,24.01728464,-6.298051606
