ID,County,Rural2020,Rural2020new,Rural2024,Rural2024new,CWPP2012,CWPP2014,CWPP2016,CWPP2018,CWPP2020,CWPP2022,population_primary_2012,population_general_2012,population_midterm_2014,population_primary_2016,population_general_2016,population_midterm_2018,population_primary_2020,population_general_2020,registration_primary_2012,registration_general_2012,registration_midterm_2014,registration_primary_2016,registration_general_2016,registration_midterm_2018,registration_primary_2020,registration_general_2020,registration_midterm_2022,turnout_primary_2012,turnout_general_2012,turnout_midterm_2014,turnout_primary_2016,turnout_general_2016,turnout_midterm_2018,turnout_primary_2020,turnout_general_2020,turnout_midterm_2022,TOrate_primary_2012,TOrate_general_2012,TOrate_midterm_2014,TOrate_primary_2016,TOrate_general_2016,TOrate_midterm_2018,TOrate_primary_2020,TOrate_general_2020,TOrate_midterm_2022,Rep2012,Dem2012,Win2012,Rep2016,Dem2016,Win2016,Rep2020,Dem2020,Win2020,growth_r_g_2012_2016,growth_r_g_2012_2020,growth_r_g_2016_2020,growth_r_p_2012_2016,growth_r_p_2012_2020,growth_r_p_2016_2020,growth_r_m_2014_2018,growth_r_m_2014_2022,growth_r_m_2018_2022,growth_t_g_2012_2016,growth_t_g_2012_2020,growth_t_g_2016_2020,growth_t_p_2012_2016,growth_t_p_2012_2020,growth_t_p_2016_2020,growth_t_m_2014_2018,growth_t_m_2014_2022,growth_t_m_2018_2022,TOrate_growth_2012_2020,TOrate_growth_2012_2016,TOrate_growth_2016_2020,Win2012new,Win2016new,Win2020new,Wing2016_2020,Percent_Urban,Percent_Rural,Percent_Hispanic,Percent_White,Percent_Black,Percent_Indian,Percent_Asian,Percent_Pacific,Percent_Multi,Percent_NotH_White,Percent_NotH_Black,Age17Under,Age65Older,Age85Older,Median_Age,Per_Capita_Income2022,Total_Personal_Income2022,Median_Household_Income2022,Percent_Poverty,Percent_Poverty_under18,Percent_Bachelor,People_Bachelor,Unemploy_Rate2019,Unemploy_Rate2020,Unemploy_Rate2021,Unemploy_Rate2022,Unemploy_Rate2023,OnSystem_Centerline,OffSystem_Centerline,ratio_Centerline,OnSystem_Lane,OffSystem_Lane,ratio_Lane,Consolidated,SpanishVR_primary_2012,SpanishVR_general_2012,SpanishVR_midterm_2014,SpanishVR_primary_2016,SpanishVR_general_2016,SpanishVR_midterm_2018,SpanishVR_primary_2020,SpanishVR_general_2020,SpanishVR_midterm_2022,spanpro_2012p,spanpro_2012g,spanpro_2014m,spanpro_2016p,spanpro_2016g,spanpro_2018m,spanpro_2020p,spanpro_2020g,spanpro_2022m
2,Anderson,rural,1,Rural,1,0,0,0,0,0,0,58458,58458,58458,58458,58458,58458,58458,58458,25652,25649,27016,27151,28096,28332,28161,29224,29477,5231,16212,10238,9823,16981,14764,9504,19229,14512,0.2039,0.6321,0.379,0.3618,0.6044,0.5211,0.3375,0.658,0.4923,12262,3813,Republican,13201,3369,Republican,15110,3955,Republican,0.0954,0.1394,0.0401,0.0584,0.0978,0.0372,0.0487,0.0911,0.0404,0.0474,0.1861,0.1324,0.8778,0.8169,-0.0325,0.4421,0.4175,-0.0171,0.0259,-0.0277,0.0536,1,1,1,0,0.3214,0.6786,0.1881,0.74,0.2195,0.0082,0.0101,0.0023,0.0199,0.5728,0.2106,0.1967,0.1573,0.0125,39.1,43870,2547260000,60800,0.193,0.222,0.131,5564,0.029,0.057,0.049,0.035,0.035,443.98,1062.14,0.418,1013.14,2127.98,0.4761,0,1383,1401,1615,1695,1787,1838,1924,2035,2202,0.053913925,0.054622013,0.05977939,0.06242864,0.06360336,0.064873641,0.068321437,0.069634547,0.07470231
3,Andrews,rural,1,Rural,1,0,0,0,0,0,0,14786,14786,14786,14786,14786,14786,14786,14786,7959,8050,8523,8710,9151,9572,9951,10252,10368,1180,4482,2221,3017,4944,4131,2706,5867,3842,0.1483,0.5568,0.2606,0.3464,0.5403,0.4316,0.2719,0.5723,0.3706,3639,795,Republican,3927,836,Republican,4943,850,Republican,0.1368,0.2735,0.1203,0.0944,0.2503,0.1425,0.1231,0.2165,0.0832,0.1031,0.309,0.1867,1.5568,1.2932,-0.1031,0.86,0.7299,-0.07,0.0155,-0.0165,0.032,1,1,1,0,0.8168,0.1832,0.5932,0.9377,0.0201,0.0161,0.0073,0.0003,0.0185,0.371,0.0137,0.3104,0.1037,0.0102,32.4,54323,995967000,68998,0.122,0.154,0.197,2175,0.023,0.082,0.057,0.032,0.03,242.61,383.53,0.6326,555.81,776.52,0.7158,0,2757,2814,3076,3245,3438,3716,3915,4045,4209,0.346400302,0.349565217,0.360905784,0.372560276,0.375696645,0.388215629,0.393427796,0.39455716,0.405960648
4,Angelina,urban,0,Rural,1,0,0,0,0,0,1,86771,86771,86771,86771,86771,86771,86771,86771,47442,48059,49912,50156,51649,51482,51582,53099,54111,12525,28652,16969,16336,30246,26565,16139,34773,24709,0.264,0.5962,0.34,0.3257,0.5856,0.516,0.3129,0.6549,0.4566,20303,7834,Republican,21668,7538,Republican,25076,9143,Republican,0.0747,0.1049,0.0281,0.0572,0.0873,0.0284,0.0315,0.0841,0.0511,0.0556,0.2136,0.1497,0.3043,0.2885,-0.0121,0.5655,0.4561,-0.0699,0.0587,-0.0106,0.0693,1,1,1,0,0.4809,0.5191,0.2352,0.8062,0.157,0.0078,0.012,0.0007,0.0163,0.5891,0.1489,0.2527,0.1716,0.0172,37.6,47281,4118195000,56825,0.159,0.218,0.186,10577,0.04,0.076,0.064,0.046,0.044,379.45,1065.3,0.3562,947.42,2131.93,0.4444,0,4047,4165,4629,4927,5234,5523,5760,6006,6474,0.085304161,0.086664308,0.092743228,0.098233511,0.101337877,0.107280214,0.111666861,0.113109475,0.119642956
5,Aransas,rural,1,Rural,1,0,0,1,1,1,1,23158,23158,23158,23158,23158,23158,23158,23158,15064,15269,15813,16278,17274,17158,17352,18259,18812,3738,9648,6114,6096,10761,8988,5325,12290,9686,0.2481,0.6319,0.3866,0.3745,0.623,0.5238,0.3069,0.6731,0.5149,6830,2704,Republican,7740,2465,Republican,9239,2916,Republican,0.1313,0.1958,0.057,0.0806,0.1519,0.066,0.0851,0.1897,0.0964,0.1154,0.2738,0.1421,0.6308,0.4246,-0.1265,0.4701,0.5842,0.0777,0.0412,-0.0089,0.0501,1,1,1,0,0.7642,0.2358,0.2972,0.9257,0.02,0.0139,0.0194,0.0012,0.0198,0.6498,0.0145,0.1777,0.2882,0.0281,50.6,64072,1598202000,60523,0.174,0.302,0.242,4598,0.043,0.084,0.072,0.053,0.049,81.62,300.47,0.2716,202.94,602.41,0.3369,1,2301,2354,2486,2554,2685,2729,2762,2839,2895,0.152748274,0.154168577,0.15721242,0.156898882,0.155435915,0.159051171,0.159174735,0.155484966,0.153891133
6,Archer,rural,1,Rural,1,0,0,0,0,1,1,9054,9054,9054,9054,9054,9054,9054,9054,6129,6173,6300,6194,6314,6259,6340,6502,6547,1507,4164,2700,2638,4343,3646,2815,4820,3862,0.2459,0.6746,0.4286,0.4259,0.6878,0.5825,0.444,0.7413,0.5899,3600,525,Republican,3786,394,Republican,4300,446,Republican,0.0228,0.0533,0.0298,0.0106,0.0344,0.0236,-0.0065,0.0392,0.046,0.043,0.1575,0.1098,0.7505,0.8679,0.0671,0.3504,0.4304,0.0592,0.0667,0.0132,0.0535,1,1,1,0,0.1264,0.8736,0.0939,0.9405,0.0134,0.0173,0.0071,0.0006,0.0212,0.8619,0.0106,0.227,0.2156,0.0239,42.3,62096,548620000,72062,0.09,0.118,0.252,1519,0.028,0.053,0.043,0.034,0.035,263.84,483.79,0.5454,571.88,967.58,0.591,0,163,170,187,187,202,211,230,248,271,0.026594877,0.027539284,0.02968254,0.030190507,0.031992398,0.033711456,0.036277603,0.03814211,0.041393004
7,Armstrong,rural,1,Rural,1,0,0,0,0,0,0,1901,1901,1901,1901,1901,1901,1901,1901,1382,1394,1334,1378,1391,1414,1437,1491,1440,359,939,573,759,959,903,736,1123,903,0.2598,0.6736,0.4295,0.5508,0.6894,0.6386,0.5122,0.7532,0.6271,828,98,Republican,924,70,Republican,1035,75,Republican,-0.0022,0.0696,0.0719,-0.0029,0.0398,0.0428,0.06,0.0795,0.0184,0.0213,0.196,0.171,1.1142,1.0501,-0.0303,0.5759,0.5759,0,0.0796,0.0158,0.0638,1,1,1,0,0,1,0.1151,0.9465,0.0168,0.0184,0.0038,0.0005,0.0141,0.8422,0.0119,0.2238,0.2451,0.0197,44.4,58556,108328000,67548,0.102,0.136,0.259,345,0.027,0.042,0.036,0.028,0.033,153.91,445.8,0.3452,378.65,891.6,0.4247,0,41,43,44,49,44,53,55,58,60,0.029667149,0.030846485,0.032983508,0.035558781,0.031631919,0.03748232,0.038274182,0.038900067,0.041666667
8,Atascosa,rural,1,Rural,1,0,0,0,0,1,1,44911,44911,44911,44911,44911,44911,44911,44911,23331,23583,24594,25301,26492,27295,28077,29346,29916,3671,12721,7608,6412,13857,12308,7369,18233,12780,0.1573,0.5394,0.3093,0.2534,0.5231,0.4509,0.2625,0.6213,0.4272,7461,5133,Republican,8618,4651,Republican,12039,5876,Republican,0.1234,0.2444,0.1077,0.0844,0.2034,0.1097,0.1098,0.2164,0.096,0.0893,0.4333,0.3158,0.7467,1.0074,0.1493,0.6178,0.6798,0.0383,0.0819,-0.0163,0.0982,1,1,1,0,0.2855,0.7145,0.6674,0.9445,0.0165,0.0152,0.0081,0.0018,0.014,0.3056,0.0099,0.266,0.1509,0.0147,36.3,45800,2329549000,59817,0.162,0.226,0.145,4581,0.036,0.086,0.061,0.041,0.038,425.57,927.75,0.4587,1021.74,1856.19,0.5504,0,12268,12402,12935,13276,13876,14282,14724,15402,15696,0.525824011,0.525887292,0.525941286,0.524722343,0.523780764,0.523246016,0.524415002,0.524841546,0.524669073
9,Austin,rural,1,Rural,1,0,0,0,0,0,1,28417,28417,28417,28417,28417,28417,28417,28417,17654,17753,18567,18842,19275,19393,19712,20243,20858,4894,11752,7223,6809,12411,11155,5964,14560,11265,0.2772,0.662,0.389,0.3614,0.6439,0.5752,0.3026,0.7193,0.5401,9265,2252,Republican,9637,2320,Republican,11447,2951,Republican,0.0857,0.1403,0.0502,0.0673,0.1166,0.0462,0.0445,0.1234,0.0755,0.0561,0.2389,0.1732,0.3913,0.2186,-0.1241,0.5444,0.5596,0.0099,0.0573,-0.0181,0.0754,1,1,1,0,0.2117,0.7883,0.2892,0.868,0.0937,0.0104,0.01,0.0005,0.0174,0.5996,0.0855,0.2355,0.215,0.0183,41.6,61630,1916518000,68630,0.15,0.236,0.241,5057,0.034,0.067,0.055,0.04,0.037,291.39,728.41,0.4,660.35,1456.83,0.4533,0,1820,1841,2077,2163,2292,2456,2612,2703,2921,0.103092784,0.103700783,0.111865137,0.114796731,0.118910506,0.126643634,0.132508117,0.133527639,0.14004219
10,Bailey,rural,1,Rural,1,0,0,0,0,0,0,7165,7165,7165,7165,7165,7165,7165,7165,3500,3485,3534,3681,3713,3689,3497,3533,3500,753,1850,1005,1076,1792,1614,1034,1860,1338,0.2151,0.5308,0.2844,0.2923,0.4826,0.4375,0.2957,0.5265,0.3823,1339,466,Republican,1344,397,Republican,1434,409,Republican,0.0654,0.0138,-0.0485,0.0517,-0.0009,-0.05,0.0439,-0.0096,-0.0512,-0.0314,0.0054,0.0379,0.429,0.3732,-0.039,0.606,0.3313,-0.171,-0.0043,-0.0482,0.0439,1,1,1,0,0.7472,0.2528,0.6505,0.9066,0.0316,0.0345,0.0106,0.0019,0.0148,0.3167,0.0121,0.2992,0.1545,0.0199,33.9,52520,356032000,52751,0.163,0.217,0.153,666,0.037,0.048,0.05,0.043,0.047,225.14,824.61,0.273,491.05,1649.22,0.2977,0,1383,1385,1471,1580,1609,1604,1557,1581,1600,0.395142857,0.397417504,0.416242218,0.429231187,0.433342311,0.434806181,0.445238776,0.447495047,0.457142857
11,Bandera,rural,1,Rural,1,0,0,0,0,0,0,20485,20485,20485,20485,20485,20485,20485,20485,14281,14677,14840,14902,15520,15877,16262,17065,17966,4277,9601,6431,5937,10311,9637,5322,12716,10513,0.2995,0.6542,0.4334,0.3984,0.6644,0.607,0.3273,0.7452,0.5852,7426,1864,Republican,8163,1726,Republican,10057,2505,Republican,0.0574,0.1627,0.0995,0.0435,0.1387,0.0913,0.0699,0.2106,0.1316,0.074,0.3244,0.2332,0.3881,0.2443,-0.1036,0.4985,0.6347,0.0909,0.091,0.0102,0.0808,1,1,1,0,0,1,0.2178,0.9416,0.0153,0.0157,0.0073,0.0008,0.0193,0.7411,0.0125,0.169,0.2971,0.0251,52.5,59272,1310810000,69284,0.117,0.193,0.273,4450,0.033,0.058,0.048,0.037,0.035,195.29,447.35,0.4366,413.97,894.69,0.4627,0,1544,1612,1665,1644,1710,1780,1868,1983,2183,0.108115678,0.109831709,0.112196765,0.110320762,0.110180412,0.11211186,0.11486902,0.116202754,0.121507292
